OBJECTID,SCH_ACADEMIC_YEAR,SCH_ESIS_ID,SCH_EDUCATION_TYPE_EN,SCH_EDUCATION_TYPE_AR,SCH_NAME_EN,SCH_NAME_AR,SCH_GENDER_EN,SCH_GENDER_AR,SCH_CURRICULUM_EN,SCH_CURRICULUM_AR,SCH_GRADES_EN,SCH_GRADES_AR,SCH_CYCLE_EN,SCH_CYCLE_AR,SCH_REGION_EN,SCH_REGION_AR,SCH_DISTRICT_EN,SCH_DISTRICT_AR,SCH_COMMUNITY,SCH_PHONE,SCH_EMAIL_ADDRESS,SCH_WEBSITE,SCH_AVERAGE_TUITION_FEE,X,Y,latitude,longitude,geometry_type
11,2024,9320,Private,خاص,Rowad Al Dhafra Private School,مدرسة رواد الظفرة الخاصة,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Dhafra Region,منطقة الظفرة,MADINAT ZAYED,مدينة زايد,MZE1_03,28841500,7320@adek.gov.ae,https://t.me/rowadaldhafrah,9700,53.71424851,23.65134385,23.651343850000046,53.71424851000006,Point
12,2024,9106,Private,خاص,Emirates National Schools - Al Nahyan,مدارس الإمارات الوطنية- آل نهيان,Mixed,مختلط,Private American,خاص - امريكي,"G06,G07,G08,G09,G10,G11,G12","السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",Cycle 2 & Cycle 3,"الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL NAHYAN,آل نهيان,E19_02,24993700,9106@adek.gov.ae,http://www.ens.sch.ae/,42313,54.38474555,24.4703565,24.470356500000037,54.38474555000005,Point
13,2024,9038,Private,خاص,Lycee Louis Massignon,ليسيه لوي مسينيون,Mixed,مختلط,Private French,خاص - فرنسي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL SA`ADAH,السعادة,E40,24448085,9038@adek.gov.ae,https://llm.education/,38794,54.43123405,24.43102573,24.431025730000044,54.43123405000006,Point
14,2024,9025,Private,خاص,Al Nahda National School For Girls,مدرسة النهضة الوطنية للبنات ,Mixed,مختلط,Private British,خاص - بريطاني,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL MUSHRIF,المشرف,W52,22041800,9025@adek.gov.ae,http://www.nahdaschools.com/,21851,54.40011915,24.43697755,24.43697755000005,54.40011915000008,Point
15,2024,9117,Private,خاص,The American International School,المدرسة الأمريكية الدولية الخاصة، أبوظبي,Mixed,مختلط,Private American,خاص - امريكي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL SA`ADAH,السعادة,E40,24444333,9117@adek.gov.ae,https://www.aisa.sch.ae,49740,54.43137082,24.42964407,24.42964407000005,54.43137082000004,Point
16,2024,9092,Private,خاص,Al Eman Private School,مدرسة الإيمان الخاصة,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL MANHAL,المنهل,W14_02,24436723,9092@adek.gov.ae,http://www.imanpvtschool.com,7253,54.37025236,24.46903356,24.46903356000007,54.37025236000005,Point
17,2024,9153,Private,خاص,Emirates Falcon International Private School,مدرسة صقر الإمارات الدولية الخاصة,Mixed,مختلط,Private American,خاص - امريكي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,FALAJ HAZZA',فلج هزاع,MAGR AL DHABI,37806668,9153@adek.gov.ae,"https://www.falcon-school.com/
",22771,55.70420552,24.18975267,24.189752670000075,55.70420552000007,Point
18,2024,9262,Private,خاص,Virginia International Private School,مدرسة فرجينيا الدولية الخاصة,Mixed,مختلط,Private American,خاص - امريكي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,SHAKHBOUT CITY,مدينة شخبوط,MSH31,24490334,9262@adek.gov.ae,http://virginiaschool.ae/en/,35740,54.65541877,24.38978093,24.38978093000003,54.65541877000004,Point
19,2024,9162,Private,خاص,International School Of Choueifat - Muwaiji,مدرسة الشويفات الدولية- المويجعي,Mixed,مختلط,Private SABIS,خاص - اجنبي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,AL MUWAIJ'I,المويجعي,UGDAT AL MUTAWAA,37678444,9162@adek.gov.ae,https://iscalain.sabis.net,28177,55.71270529,24.20129099,24.201290990000075,55.71270529000003,Point
20,2024,9054,Private,خاص,Emirates Future International Academy,مدرسة اكاديمية مستقبل الامارات الدولية الخاصة,Mixed,مختلط,Private Indian,خاص - هندي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,MOHAMED BIN ZAYED CITY,مدينة محمد بن زايد,ME10,25525188,9054@adek.gov.ae,www.efiaschool.com,11984,54.53239867,24.3355163,24.33551630000005,54.53239867000008,Point
21,2024,9291,Private,خاص,Al Manara Private School - Mbz,مدرسة المنارة الخاصة- مدينة محمد بن زايد,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,MOHAMED BIN ZAYED CITY,مدينة محمد بن زايد,ME9,25858670,9291@adek.gov.ae,http://www.mbz.ampss.ae,14873,54.53398467,24.33944715,24.33944715000007,54.53398467000005,Point
22,2024,9077,Private,خاص,Al Falah Academy - Al Danah,أكاديمية الفلاح - الدانه,Mixed,مختلط,Private MoE,خاص - وزارة,"G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",Cycle 1 & Cycle 2 & Cycle 3,"الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL DANAH,الدانة,E11,26945999,9077@adek.gov.ae,N/A,4000,54.37436945,24.48800709,24.488007090000053,54.374369450000074,Point
23,2024,9001,Private,خاص,Noya British School,مدرسة نويا البريطانية,Mixed,مختلط,Private British,خاص - بريطاني,"FS1,KG1,KG2,G01,G02,G03,G04,G05","N/A,FS2/روضة أولى,السنة الأولى/روضة ثانية,السنة الثانية/الصف الأول,السنة الثالثة/الصف الثاني,السنة الرابعة/الصف الثالث,السنة الخامسة/الصف الرابع,السنة السادسة/الصف الخامس",ECE & KG & Cycle 1,"حضانة,رياض الأطفال,الحلقة الأولى",Abu Dhabi,أبوظبي,YAS ISLAND,جزيرة ياس,YN1,28132111,9001@adek.gov.ae,N/A,38400,54.59111752,24.50245302,24.502453020000075,54.59111752000007,Point
24,2024,9161,Private,خاص,Indian School - Al Ain,المدرســة الهندية الخاصة,Mixed,مختلط,Private Indian,خاص - هندي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,AL MUWAIJ'I,المويجعي,UGDAT AL MUTAWAA,37678915,9161@adek.gov.ae,http://www.indiainschoolalain.com,6897,55.70941223,24.195833,24.19583300000005,55.709412230000055,Point
25,2024,9148,Private,خاص,Al Seddique Private School,مدرسة الصديق الخاصة,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,CENTRAL DISTRICT,وسط المدينة,NAD AL RUSAS,37643969,9148@adek.gov.ae,http://www.sdq-uae.com,6013,55.75676403,24.22989976,24.229899760000023,55.756764030000056,Point
26,2024,9124,Private,خاص,Al Ittihad National Private School - Falaj Hazza,مدرسة الاتحاد الوطنية الخاصة- فلج هزاع,Mixed,مختلط,Private American,خاص - امريكي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,FALAJ HAZZA',فلج هزاع,MAGR AL DHABI,37811164,9124@adek.gov.ae,https://www.inpsabudhabi.com/,23563,55.71024522,24.1913294,24.19132940000003,55.71024522000005,Point
27,2024,9255,Private,خاص,Maplewood Canadian International School ,مدرسة ميبل وود الكندية الدولية,Mixed,مختلط,Private Canadian,خاص - كندي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,MOHAMED BIN ZAYED CITY,مدينة محمد بن زايد,ME9,25524223,9255@adek.gov.ae,https://maplewood.school/,41143,54.53310973,24.34246923,24.342469230000063,54.533109730000035,Point
28,2024,9325,Private,خاص,Lycee Francais International Theodore Monod - Sadiyaat,مدرسة الفرنسية الدولية تيودور مونود- السعديات,Mixed,مختلط,Private French,خاص - فرنسي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL SAADIYAT ISLAND,جزيرة السعديات,SDN4,24434447,9325@adek.gov.ae,N/A,45829,54.45240705,24.55535274,24.555352740000046,54.45240705000003,Point
29,2024,9340,Private,خاص,Italian International School,المدرسة الإيطالية الدولية,Mixed,مختلط,Private Italian,N/A,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,KHALIFA CITY,مدينة خليفة,SE44,N/A,9340@adek.gov.ae,N/A,54527,54.58184492,24.43074271,24.43074271000006,54.58184492000004,Point
30,2024,9096,Private,خاص,Yasmina British Academy,الياسمينة أكاديمية بريطانية,Mixed,مختلط,Private British,خاص - بريطاني,"G06,G07,G08,G09,G10,G11,G12","السنة السابعة/الصف السادس,السنة الثامنة/الصف السابع,السنة التاسعة/الصف الثامن,السنة العاشرة/الصف التاسع,السنة الحادية عشرة/الصف العاشر,السنة الثانية عشرة/الصف الحادي عشر,السنة الثالثة عشرة",Cycle 2 & Cycle 3,"الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,KHALIFA CITY,مدينة خليفة,SW18,25014888,9096@adek.gov.ae,http://www.alyasminaacademy.sch.ae,55153,54.54663356,24.42639199,24.42639199000007,54.54663356000003,Point
31,2024,9284,Private,خاص,Ajyal International School - Falah,مدرسة أجيال الدولية- الفلاح,Mixed,مختلط,Private American,خاص - امريكي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL FALAH,الفلاح,1A,22034500,9284@adek.gov.ae,http://www.ajyalfalah.sch.ae/,34774,54.72051933,24.44568498,24.445684980000067,54.72051933000006,Point
32,2024,9221,Private,خاص,Emirates Education Academy,أكاديمية الامارات العلمية,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Dhafra Region,منطقة الظفرة,MADINAT ZAYED,مدينة زايد,MZW3,28870887,9221@adek.gov.ae,http://www.eea.ae,6586,53.69813821,23.66029195,23.660291950000044,53.69813821000008,Point
33,2024,9201,Private,خاص,Merryland International School,مدرسة الأرض السعيدة العالمية,Mixed,مختلط,Private British,خاص - بريطاني,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,MOHAMED BIN ZAYED CITY,مدينة محمد بن زايد,ME9,25519626,9201@adek.gov.ae,http://www.merryland.org,32822,54.53553981,24.34652727,24.346527270000024,54.535539810000046,Point
34,2024,8129,Private,خاص,Ain Al Khaleej Private,عين الخليج الخاصة أمريكي,Mixed,مختلط,Private American,خاص - امريكي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,FALAJ HAZZA',فلج هزاع,MAGR AL DHABI,37811232,9129@adek.gov.ae,http://www.ainalkhaleejschool.com/contacts.html,15859,55.7128341,24.19377897,24.19377897000004,55.712834100000066,Point
35,2024,9032,Private,خاص,Emirates Private School - Muroor,مدرسة الامارات الخاصة- المرور,Mixed,مختلط,Private MoE,خاص - وزارة,"G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",Cycle 1 & Cycle 2 & Cycle 3,"الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL SA`ADAH,السعادة,E41_01,24448863,emiratesad.pvt@adek.gov.ae,http://www.epschad.com,13981,54.43586579,24.44084626,24.440846260000058,54.43586579000004,Point
36,2024,9019,Private,خاص,Ashabal Al Quds Secondary Private School,مدرسة أشبال القدس الثانوية الخاصة,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,SHAKHBOUT CITY,مدينة شخبوط,MSH11,25861440,9019@adek.gov.ae,N/A,11755,54.62791723,24.36034855,24.360348550000026,54.62791723000004,Point
37,2024,9098,Private,خاص,Baniyas International Private School,مدرسة بني ياس الدولية الخاصة,Mixed,مختلط,Private American,خاص - امريكي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,BANI YAS,بني ياس,EB1,25827555,9098@adek.gov.ae,http://www.adbips.com/,22824,54.63314996,24.32384813,24.323848130000044,54.63314996000008,Point
