title,property_type,price,price_numeric,size_sqft,latitude,longitude,url
Rent in Al Seef: Brand New 3 Shops Suitable for any Business | Property Finder,Office,"AED 179,999",179999,2604,24.448644638061523,54.58961486816406,https://www.propertyfinder.ae/en/plp/commercial-rent/shop-for-rent-abu-dhabi-al-raha-beach-al-seef-15580919.html
Rent in Rawdhat Abu Dhabi: Shop Space | Seize New Business Opportunity Today! | Property Finder,Office,"AED 2,065,500",2065500,16565,24.418251037597656,54.4658317565918,https://www.propertyfinder.ae/en/plp/commercial-rent/shop-for-rent-abu-dhabi-rawdhat-abu-dhabi-15438149.html
Rent in Abu Dhabi National Exhibition Centre: High-Visibility Retail Shops I Many Activities | Property Finder,Office,"AED 649,999",649999,6566,24.41981315612793,54.4372673034668,https://www.propertyfinder.ae/en/plp/commercial-rent/show-room-for-rent-abu-dhabi-al-bateen-al-khaleej-al-arabi-street-abu-dhabi-national-exhibition-centre-15580945.html
Rent in Corniche Road: Fitted Showroom Available in Corniche For Rent | Property Finder,Office,"AED 1,180,674",1180674,7058,24.466428756713867,54.329933166503906,https://www.propertyfinder.ae/en/plp/commercial-rent/show-room-for-rent-abu-dhabi-corniche-road-15297202.html
Rent in Khalifa City A: Commercial Villa | 22 Room | Corner | Main Street | Property Finder,Office,"AED 1,100,000",1100000,23250,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15549660.html
Rent in Shakhbout City: High-End 8BR  Commercial Villa | Flexible Usage ! | Property Finder,Office,"AED 580,000",580000,9872,24.356430053710938,54.62781524658203,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-shakhbout-city-15318827.html
Rent in Shakhbout City: Huge 6BR Licensed Commercial Villa with Maids Room | Property Finder,Office,"AED 500,000",500000,14999,24.356430053710938,54.62781524658203,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-shakhbout-city-15537900.html
Rent in KIZAD: Ready Warehouse in KIZAD | Excellent Connectivity | Property Finder,Warehouse,"AED 914,600",914600,14477,24.686447143554688,54.796142578125,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-al-samha-kizad-15589426.html
Rent in KIZAD: Premium Warehouse Facility |Excellent Connectivity | Property Finder,Warehouse,"AED 311,350",311350,5156,24.686447143554688,54.796142578125,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-al-samha-kizad-15589437.html
Rent in KIZAD: Premium Warehouse Facility|Parking-Loading Access | Property Finder,Warehouse,"AED 4,200,000",4200000,75347,24.686447143554688,54.796142578125,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-al-samha-kizad-15589494.html
Rent in Abu Dhabi Business Hub: High-Spec Warehouse with Loading Bay &amp; Offices | Property Finder,Warehouse,"AED 1,197,300",1197300,12,24.322540283203125,54.520896911621094,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-abu-dhabi-business-hub-15589360.html
Rent in Mussafah Industrial Area:  Spacious 680 SQM Warehouse for Rent  | Property Finder,Warehouse,"AED 440,000",440000,7319,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15544368.html
Rent in Mussafah Industrial Area: Prime Warehouse|Strategic location|High Visibility | Property Finder,Warehouse,"AED 589,600",589600,7933,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15588835.html
Rent in Mussafah Industrial Area: Premium Space | Warehouse in Mussafah | Prime Area | Property Finder,Warehouse,"AED 598,650",598650,9914,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15589338.html
Rent in Mussafah Industrial Area: Strategic Location | Warehouse with Easy Access | Property Finder,Warehouse,"AED 372,450",372450,6168,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15589374.html
Rent in Mussafah Industrial Area: Excellent Road Access | Premium Warehouse for Rent | Property Finder,Warehouse,"AED 248,300",248300,4112,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15589409.html
21455 Commercial Properties for Rent in UAE - Property Finder,Warehouse,"AED 180,000",180000,4000,25.3082218170166,55.65555953979492,https://www.propertyfinder.ae/en/commercial-rent/properties-for-rent.html
Rent in Deena Building: PRESTIGE OFFICE | PRIME LOCATION | GREAT AMENITIES | Property Finder,Office,"AED 525,000",525000,4520,24.493589401245117,54.36071014404297,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-danah-deena-building-15374177.html
Rent in Deena Building: PRESTIGE OFFICE | PRIME LOCATION | GREAT AMENITIES | Property Finder,Office,"AED 787,500",787500,6781,24.493589401245117,54.36071014404297,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-danah-deena-building-15374214.html
Rent in Deena Building: PRESTIGE OFFICE | PRIME LOCATION | GREAT AMENITIES | Property Finder,Office,"AED 1,050,000",1050000,9041,24.493589401245117,54.36071014404297,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-danah-deena-building-15374296.html
Rent in Al Forsan Village: Shell and Core | Semi Fitted | Prime Location | Property Finder,Office,"AED 351,600",351600,3155,24.40437889099121,54.54851531982422,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-al-forsan-village-15593682.html
Rent in Al Forsan Village: Commercial for Rent | Ideal for Offices | Vacant | Property Finder,Office,"AED 371,250",371250,3155,24.40437889099121,54.54851531982422,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-al-forsan-village-15594643.html
Rent in Khalifa City A: Fitted Office | Prime Location | High Quality Finishes | Property Finder,Office,"AED 426,000",426000,0,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15425858.html
Rent in Prestige Tower 17: Spacious Office Space at Prestige Tower 17 | Property Finder,Office,"AED 560,000",560000,4822,24.37482452392578,54.531646728515625,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mohamed-bin-zayed-city-prestige-towers-prestige-tower-17-15436862.html
Rent in ICAD - Industrial City Of Abu Dhabi: 696 sqmt Fitted Office for rent at Icad Mussafah  | Property Finder,Office,"AED 612,480",612480,7488,24.332622528076172,54.4943962097168,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mussafah-icad-industrial-city-of-abu-dhabi-15232155.html
Rent in M-20: Massive Office for Rent | Ideal for Corporate Use | Property Finder,Office,"AED 1,587,460",1587460,20102,24.3695125579834,54.47591018676758,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-m-20-15589026.html
Rent in M-20: Premium Office Space | Vacant | Book a Viewing | Property Finder,Office,"AED 979,200",979200,12400,24.3695125579834,54.47591018676758,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-m-20-15589115.html
Rent in 2nd Street: Huge Retail on Airport Rd | G+M | Ideal Showroom | Property Finder,Office,"AED 6,200,000",6200000,74809,24.397714614868164,54.500213623046875,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-airport-road-2nd-street-15381430.html
Rent in Al Bateen Villas: Spacious Fitness Centre | Fully Equipped | Vacant | Property Finder,Office,"AED 447,700",447700,8761,24.4412899017334,54.366607666015625,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-bateen-al-bateen-villas-15583470.html
Rent in Al Marasy: Shell and Core | Spacious Showroom | Prime Area | Property Finder,Office,"AED 476,000",476000,89,24.451881408691406,54.33395004272461,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-bateen-al-marasy-15583487.html
Rent in Sheleila Tower: Spacious Retail | Semi Fitted | Vacant Now | Property Finder,Office,"AED 1,180,674",1180674,7060,24.4715518951416,54.34186553955078,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-khalidiya-sheleila-tower-15511839.html
Rent in Hazaa Bin Zayed the First Street: Fitted | Spacious Layout | Prime Location | Property Finder,Office,"AED 3,497,200",3497200,26888,24.46666717529297,54.383331298828125,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-nahyan-camp-hazaa-bin-zayed-the-first-street-15475126.html
Rent in Corniche Road: Premium Retail Space\ Real picture\ Corniche view  | Property Finder,Office,"AED 1,000,000",1000000,10763,24.466428756713867,54.329933166503906,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-corniche-road-15492347.html
Rent in Global Tower: Shell and Core | Spacious Retail | Vacant | Property Finder,Office,"AED 1,900,000",1900000,12260,24.491230010986328,54.37145233154297,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-electra-street-global-tower-15490301.html
Rent in Al Marasy: Hot Deal | Spacious Showroom | Al Marasy | Property Finder,Office,"AED 476,000",476000,3014,24.451881408691406,54.33395004272461,https://www.propertyfinder.ae/en/plp/commercial-rent/show-room-for-rent-abu-dhabi-al-bateen-al-marasy-15594586.html
Rent in Electra Street: SPECIOUS SHOWROOM| SHELL N CORE| DOWNTOWN CITY  | Property Finder,Office,"AED 1,900,000",1900000,25,24.49472427368164,54.37592315673828,https://www.propertyfinder.ae/en/plp/commercial-rent/show-room-for-rent-abu-dhabi-electra-street-15530925.html
Rent in Al Bateen Villas: Upscale 2 Villa | 7 Master BR | Perfect Location | Property Finder,Office,"AED 400,000",400000,13610,24.4412899017334,54.366607666015625,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-al-bateen-al-bateen-villas-15152728.html
Rent in Shakhbout City:       | HOT DEAL |Villa in Shakhbout City for Rent | Property Finder,Office,"AED 350,000",350000,15000,24.356430053710938,54.62781524658203,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-shakhbout-city-15273297.html
Rent in ICAD - Industrial City Of Abu Dhabi: Fully Air-Conditioned (Frozen Storage) Warehouse  | Property Finder,Warehouse,"AED 589,600",589600,7930,24.332622528076172,54.4943962097168,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-icad-industrial-city-of-abu-dhabi-15176327.html
Rent in Mussafah Industrial Area: Premium Warehouses | Furnished Offices &amp; Plots | Property Finder,Warehouse,"AED 8,000,000",8000000,246472,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15530677.html
Rent in Umm Al Nar: Warehouse for rent in Umm Ul Nar Abu Dhabi | Property Finder,Warehouse,"AED 833,000",833000,12804,24.441425323486328,54.51633071899414,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-umm-al-nar-15092757.html
Rent in Sas Al Nakheel Village: Premium Commercial Space | Sas Al Nakhl Area | Property Finder,Office,"AED 2,700,000",2700000,36953,24.404386520385742,54.52933883666992,https://www.propertyfinder.ae/en/plp/commercial-rent/whole-building-for-rent-abu-dhabi-sas-al-nakheel-sas-al-nakheel-village-15518942.html
21455 Commercial Properties for Rent in UAE - Property Finder,Warehouse,"AED 180,000",180000,4000,25.3082218170166,55.65555953979492,https://www.propertyfinder.ae/en/commercial-rent/properties-for-rent.html
Rent in Addax port office tower: FULL FLOOR OFFICE | PRIME LOCATION | ADGM LICENSE | Property Finder,Office,"AED 1,559,563",1559563,21514,24.498611450195312,54.403038024902344,https://www.propertyfinder.ae/en/plp/commercial-rent/full-floor-for-rent-abu-dhabi-al-reem-island-city-of-lights-addax-port-office-tower-15350873.html
"Rent in Khalifa City A: Fitted Full Floor | 1,164 SQM I 10 Parking | Property Finder",Office,"AED 814,800",814800,12530,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/full-floor-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15147532.html
Rent in Al Khaleej Al Arabi Street: 590SQM | Full Floor | Shell and Core | ADNEC area | Property Finder,Office,"AED 708,000",708000,6351,24.420040130615234,54.426551818847656,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-bateen-al-khaleej-al-arabi-street-15320000.html
Rent in Cornich Al Khalidiya: Half-Floor | Fitted Office | Prime Location | Property Finder,Office,"AED 566,248",566248,83,24.471681594848633,54.33732223510742,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-15458570.html
Rent in CI Tower: Full Floor | Fitted Office | Flexible Payment | Property Finder,Office,"AED 622,250",622250,7050,24.46845054626465,54.338993072509766,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-ci-tower-15527383.html
Rent in Khalifa City A: BUA 362.5 SQM I Fitted I 9 Partitions I 3 Parking | Property Finder,Office,"AED 435,000",435000,3902,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15147392.html
Rent in Khalifa City A: Fully Fitted | BUA 360 SQM I 14 Cabins I 3 Parking | Property Finder,Office,"AED 432,000",432000,3875,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15149222.html
Rent in Khalifa City A: BUA 362.5 SQM I 15 Partitions I 3 Parking | Property Finder,Office,"AED 435,000",435000,3902,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15170458.html
Rent in Khalifa City A: Fitted | BUA 381.85 sqm I Partitioned I 3 Parking | Property Finder,Office,"AED 458,220",458220,4110,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15170485.html
Rent in Khalifa City A: BUA 973.7 SQM I 32 Cabins I 9 Parking I Fitted | Property Finder,Office,"AED 1,168,440",1168440,10481,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15371209.html
Rent in ICAD - Industrial City Of Abu Dhabi: Office Space | 1071 SQM | Shell and Core | Property Finder,Office,"AED 750,036",750036,31,24.332622528076172,54.4943962097168,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mussafah-icad-industrial-city-of-abu-dhabi-15381392.html
Rent in Mussafah Industrial Area: Fitted Office | Suitable for Clinic | For Rent | Property Finder,Office,"AED 480,000",480000,56,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-14278997.html
Rent in Al Marasy: Water Front I Prime Location I Shell and Core | Property Finder,Office,"AED 476,000",476000,3014,24.451881408691406,54.33395004272461,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-bateen-al-marasy-15428066.html
Rent in Al Wahda Street: Limited slots | Prime Location I Duplex | Property Finder,Office,"AED 403,200",403200,2734,24.469778060913086,54.37126159667969,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-wahda-al-wahda-street-15373781.html
Rent in Mussafah Industrial Area: Fitted and Ready Showroom  | For Bank | 400 SQM | Property Finder,Office,"AED 600,000",600000,56,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-14430334.html
Rent in Mussafah Industrial Area: Prime Location | Retail | 778 SQM | Ready to Use | Property Finder,Office,"AED 778,410",778410,8379,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15284223.html
Rent in Al Danah: READY TO MOVE | RETAIL SPACE | SPACIOUS SHOWROOM | Property Finder,Office,"AED 1,900,000",1900000,12264,24.475685119628906,54.374107360839844,https://www.propertyfinder.ae/en/plp/commercial-rent/show-room-for-rent-abu-dhabi-al-danah-15383082.html
Rent in Al Saada Street: Modern Villa with 8 Bedrooms |Commercial License  | Property Finder,Office,"AED 390,000",390000,3575,24.437538146972656,54.380977630615234,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-al-mushrif-al-saada-street-15548734.html
Rent in Madinat Al Riyad: √Brand New! Commercial Villa | 12 Master Bedroom√ | Property Finder,Office,"AED 400,000",400000,7863,24.346105575561523,54.745948791503906,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-madinat-al-riyad-15447574.html
Rent in Mohamed Bin Zayed City Villas: Spacious And Convenient | Allows for Nursery ! | Property Finder,Office,"AED 470,000",470000,41000,24.33371925354004,54.55443572998047,https://www.propertyfinder.ae/en/plp/commercial-rent/villa-for-rent-abu-dhabi-mohamed-bin-zayed-city-mohamed-bin-zayed-city-villas-15128632.html
Rent in Mafraq Industrial Area: Spacious 3 BR Warehouse in Mafraq Industrial Area | Property Finder,Warehouse,"AED 180,000",180000,5166,24.272016525268555,54.59835433959961,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mafraq-industrial-area-15592620.html
Rent in Mussafah Industrial Area: Furnished Office  | Available Now | Prime Area | Property Finder,Warehouse,"AED 586,500",586500,7427,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-14617741.html
Rent in Mussafah Industrial Area: Furnished Office | With Storage | Industrial Area | Property Finder,Warehouse,"AED 979,200",979200,12400,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15244114.html
Rent in Mussafah Industrial Area: Fully Furnished Office Space | With Storage space | Property Finder,Warehouse,"AED 979,200",979200,12400,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15244142.html
Rent in Mussafah Industrial Area: Stand Alone Warehouse for Storage | Prime Location | Property Finder,Warehouse,"AED 1,345,550",1345550,17034,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/warehouse-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-15244168.html
21455 Commercial Properties for Rent in UAE - Property Finder,Warehouse,"AED 180,000",180000,4000,25.3082218170166,55.65555953979492,https://www.propertyfinder.ae/en/commercial-rent/properties-for-rent.html
Rent in Al Danah: Great View | Superb Location | Office Space | Property Finder,Office,"AED 233,400",233400,4187,24.475685119628906,54.374107360839844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-danah-11828719.html
Rent in Cornich Al Khalidiya: Sea View | Fitted Office | Great Condition | Property Finder,Office,"AED 622,250",622250,36,24.471681594848633,54.33732223510742,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-15049502.html
Rent in Cornich Al Khalidiya: Fully Fitted Office | Prime Location | Partitioned | Property Finder,Office,"AED 312,000",312000,45,24.471681594848633,54.33732223510742,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-15062175.html
Rent in CI Tower: Fitted Office | Flexible Payment | Sea View | Property Finder,Office,"AED 312,000",312000,3444,24.46845054626465,54.338993072509766,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-ci-tower-15413979.html
Rent in CI Tower: FITTED OFFICE | GREAT AMENITIES | PRIME LOCATION | Property Finder,Office,"AED 566,248",566248,6415,24.46845054626465,54.338993072509766,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-ci-tower-15455370.html
Rent in CI Tower: DAZZLING OFFICE | SUPER AFFORDABLE RATE | FITTED | Property Finder,Office,"AED 312,000",312000,3444,24.46845054626465,54.338993072509766,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-ci-tower-15455398.html
Rent in CI Tower: PRIME LOCATION | SPACIOUS OFFICE | PANORAMIC VIEWS | Property Finder,Office,"AED 316,875",316875,3498,24.46845054626465,54.338993072509766,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-ci-tower-15455408.html
Rent in CI Tower: TOP LOCATION | PREMIUM SPACE | GRADE A BUILDING | Property Finder,Office,"AED 622,250",622250,7050,24.46845054626465,54.338993072509766,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-khalidiya-cornich-al-khalidiya-ci-tower-15455420.html
Rent in Khalifa City A: Fitted Office | Prime Location | High Quality Finishes | Property Finder,Office,"AED 483,600",483600,0,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15120931.html
Rent in Khalifa City A: Fitted Office | Prime Location | High Quality Finishes | Property Finder,Office,"AED 454,800",454800,0,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15386920.html
Rent in Khalifa City A: Fitted Office | Prime Location | High Quality Finishes | Property Finder,Office,"AED 438,000",438000,0,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15386921.html
Rent in Khalifa City A: Fitted Office | Prime Location | High Quality Finishes | Property Finder,Office,"AED 487,200",487200,0,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15387302.html
Rent in Khalifa City A: Fitted Office | Prime Location | High Quality Finishes | Property Finder,Office,"AED 452,400",452400,0,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15387324.html
Rent in Al Danah: Showroom | For Discounted Centers | Supermarket | Property Finder,Office,"AED 1,400,000",1400000,15069,24.475685119628906,54.374107360839844,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-danah-15196191.html
Rent in Al Danah: Huge Retail | for Bank | Govt Department Services | Property Finder,Office,"AED 3,497,200",3497200,26888,24.475685119628906,54.374107360839844,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-danah-15289598.html
Rent in Sheleila Tower: SPACIOUS RETAIL | PRIME LOCATION | GRADE A SPACE | Property Finder,Office,"AED 1,180,674",1180674,7058,24.4715518951416,54.34186553955078,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-khalidiya-sheleila-tower-15406901.html
Rent in Al Zahiyah: 3 Floors Showroom | Discounted Centers | 1400 Sqm | Property Finder,Office,"AED 1,300,000",1300000,15069,24.497058868408203,54.38042449951172,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-zahiyah-15098499.html
Rent in Al Zahiyah: Prime 3-Level Showroom with Large Lift &amp; Escalator | Property Finder,Office,"AED 1,200,000",1200000,15069,24.497058868408203,54.38042449951172,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-zahiyah-15583293.html
Rent in Mussafah Industrial Area: Retail Space | Nicely Fitted | Great Location | Property Finder,Office,"AED 1,859,000",1859000,20010,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-13820762.html
Rent in Mussafah Industrial Area: Amazing Retail | Fitted Space | Ready Now | Property Finder,Office,"AED 465,000",465000,5005,24.333332061767578,54.516666412353516,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-mussafah-mussafah-industrial-area-13820764.html
